Time,s1,s2,s3
"09/15/2021,14:49:17",0.2831325301204686,1.2831325301204686,0.2831325301204686
"09/15/2021,14:49:18",0.3433734939759176,1.3433734939759177,0.3433734939759176
"09/15/2021,14:49:19",0.3433734939759176,1.3433734939759177,0.3433734939759176
"09/15/2021,14:49:20",0.3493975903614341,1.3493975903614341,0.3493975903614341
"09/15/2021,14:49:21",0.2680722891566347,1.2680722891566347,0.2680722891566347
"09/15/2021,14:49:22",0.3825301204819311,1.3825301204819311,0.3825301204819311
"09/15/2021,14:49:23",0.4066265060240823,1.4066265060240823,0.4066265060240823
"09/15/2021,14:49:24",0.2740963855421796,1.2740963855421796,0.2740963855421796
"09/15/2021,14:49:25",0.1506024096385658,1.1506024096385659,0.1506024096385658
"09/15/2021,14:49:26",0.322289156626482,1.322289156626482,0.322289156626482
"09/15/2021,14:49:27",0.2560240963855165,0.2560240963855165,0.2560240963855165
"09/15/2021,14:49:28",0.5602409638554491,0.5602409638554491,0.5602409638554491
"09/15/2021,14:49:29",0.3433734939759176,0.3433734939759176,0.3433734939759176
"09/15/2021,14:49:30",0.3674698795180688,0.3674698795180688,0.3674698795180688
"09/15/2021,14:49:31",0.2771084337349236,0.2771084337349236,0.2771084337349236
"09/15/2021,14:49:32",0.4126506024096557,0.4126506024096557,0.4126506024096557
"09/15/2021,14:49:33",0.424698795180717,0.424698795180717,0.424698795180717
"09/15/2021,14:49:34",0.174698795180717,0.174698795180717,0.174698795180717
"09/15/2021,14:49:35",0.5512048192771033,0.5512048192771033,0.5512048192771033
"09/15/2021,14:49:36",0.3493975903614341,0.3493975903614341,0.3493975903614341
"09/15/2021,14:49:37",0.4698795180722754,0.4698795180722754,0.4698795180722754
"09/15/2021,14:49:38",0.2801204819276961,0.2801204819276961,0.2801204819276961
"09/15/2021,14:49:39",0.3524096385542066,0.3524096385542066,0.3524096385542066
"09/15/2021,14:49:40",0.4698795180722754,0.4698795180722754,0.4698795180722754
"09/15/2021,14:49:41",0.286144578313241,0.286144578313241,0.286144578313241
"09/15/2021,14:49:42",0.3704819277108697,0.3704819277108697,0.3704819277108697
"09/15/2021,14:49:43",0.3433734939759176,0.3433734939759176,0.3433734939759176
"09/15/2021,14:49:44",0.2108433734939581,0.2108433734939581,0.2108433734939581
"09/15/2021,14:49:45",0.2981927710843592,0.2981927710843592,0.2981927710843592
"09/15/2021,14:49:46",0.2439759036144551,0.2439759036144551,0.2439759036144551
"09/15/2021,14:49:47",0.3373493975903727,0.3373493975903727,0.3373493975903727
"09/15/2021,14:49:48",0.4518072289156691,0.4518072289156691,0.4518072289156691
"09/15/2021,14:49:49",0.4006024096385374,0.4006024096385374,0.4006024096385374
"09/15/2021,14:49:50",0.3704819277108697,0.3704819277108697,0.3704819277108697
"09/15/2021,14:49:51",0.4006024096385374,0.4006024096385374,0.4006024096385374
"09/15/2021,14:49:52",0.2349397590361377,0.2349397590361377,0.2349397590361377
"09/15/2021,14:49:53",0.216867469879503,0.216867469879503,0.216867469879503
"09/15/2021,14:49:54",0.2409638554216826,0.2409638554216826,0.2409638554216826
"09/15/2021,14:49:55",0.3102409638554206,0.3102409638554206,0.3102409638554206
"09/15/2021,14:49:56",0.3584337349397515,0.3584337349397515,0.3584337349397515
"09/15/2021,14:49:57",0.2740963855421796,0.2740963855421796,0.2740963855421796
"09/15/2021,14:49:58",0.3102409638554206,0.3102409638554206,0.3102409638554206
"09/15/2021,14:49:59",0.216867469879503,0.216867469879503,0.216867469879503
"09/15/2021,14:50:00",0.397590361445765,0.397590361445765,0.397590361445765
"09/15/2021,14:50:01",0.3674698795180688,0.3674698795180688,0.3674698795180688
"09/15/2021,14:50:02",0.3012048192771033,0.3012048192771033,0.3012048192771033
"09/15/2021,14:50:03",0.2048192771084132,0.2048192771084132,0.2048192771084132
"09/15/2021,14:50:04",0.3072289156626482,0.3072289156626482,0.3072289156626482
"09/15/2021,14:50:05",0.4698795180722754,0.4698795180722754,0.4698795180722754
"09/15/2021,14:50:06",0.4819277108433653,0.4819277108433653,0.4819277108433653
"09/15/2021,14:50:07",0.466867469879503,0.466867469879503,0.466867469879503
"09/15/2021,14:50:08",0.4216867469879446,0.4216867469879446,0.4216867469879446
"09/15/2021,14:50:09",0.3644578313252964,0.3644578313252964,0.3644578313252964
"09/15/2021,14:50:10",0.3614457831325239,0.3614457831325239,0.3614457831325239
"09/15/2021,14:50:11",0.3855421686747036,0.3855421686747036,0.3855421686747036
"09/15/2021,14:50:12",0.2771084337349236,0.2771084337349236,0.2771084337349236
"09/15/2021,14:50:13",0.2078313253011856,0.2078313253011856,0.2078313253011856
"09/15/2021,14:50:14",0.3373493975903727,0.3373493975903727,0.3373493975903727
"09/15/2021,14:50:15",0.3403614457831452,0.3403614457831452,0.3403614457831452
"09/15/2021,14:50:16",0.2680722891566347,0.2680722891566347,0.2680722891566347
"09/15/2021,14:50:17",0.2891566265060135,0.2891566265060135,0.2891566265060135
"09/15/2021,14:50:18",0.4186746987951721,0.4186746987951721,0.4186746987951721
"09/15/2021,14:50:19",0.3072289156626482,0.3072289156626482,0.3072289156626482
"09/15/2021,14:50:20",0.322289156626482,0.322289156626482,0.322289156626482
"09/15/2021,14:50:21",0.388554216867476,0.388554216867476,0.388554216867476
"09/15/2021,14:50:22",0.3373493975903727,0.3373493975903727,0.3373493975903727
"09/15/2021,14:50:23",0.3915662650602485,0.3915662650602485,0.3915662650602485
"09/15/2021,14:50:24",0.3704819277108697,0.3704819277108697,0.3704819277108697
"09/15/2021,14:50:25",0.3042168674698757,0.3042168674698757,0.3042168674698757
"09/15/2021,14:50:26",0.3012048192771033,0.3012048192771033,0.3012048192771033
